PST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2014-7-1,109,94,78,43,37,22,28,16,5,29.77,29.70,29.63,10,10,10,22,9,30,0.00,0,,189
2014-7-2,109,91,73,42,35,17,28,15,4,29.79,29.73,29.67,10,10,10,22,10,29,0.00,0,,187
2014-7-3,108,90,73,41,34,24,25,15,6,29.84,29.78,29.73,10,10,10,28,10,34,0.00,0,,200
2014-7-4,105,90,75,49,41,37,27,18,10,29.95,29.87,29.80,10,10,10,24,11,29,0.00,,,184
2014-7-5,105,88,75,56,44,39,31,21,12,30.00,29.92,29.87,10,10,10,32,9,41,0.00,,,145
2014-7-6,105,88,75,50,45,41,31,21,16,29.97,29.88,29.79,10,10,10,24,7,31,0.00,,,295
2014-7-7,106,92,80,52,44,33,38,20,10,29.86,29.80,29.70,10,10,10,20,6,23,0.00,2,,218
2014-7-8,107,92,77,48,39,31,28,16,8,29.86,29.79,29.72,10,10,10,13,6,22,0.00,1,,183
2014-7-9,106,90,73,43,37,32,27,15,9,29.88,29.79,29.70,10,10,10,17,8,26,0.00,1,,179
2014-7-10,102,86,73,42,37,33,25,18,9,29.86,29.79,29.73,10,10,10,22,8,24,0.00,2,,180
2014-7-11,98,84,69,44,40,34,36,22,11,29.91,29.86,29.81,10,10,10,16,9,22,0.00,0,,172
2014-7-12,104,86,69,45,38,24,36,20,6,29.96,29.90,29.83,10,10,10,15,6,24,0.00,0,,136
2014-7-13,111,91,71,48,39,31,33,17,8,29.92,29.83,29.72,10,10,10,13,5,,0.00,0,,195
2014-7-14,104,93,84,56,51,48,31,23,17,29.91,29.86,29.79,10,10,10,16,9,24,0.00,5,,156
2014-7-15,102,90,81,59,53,48,42,28,17,29.95,29.88,29.80,10,10,10,17,7,23,0.00,2,,174
2014-7-16,104,90,79,54,50,36,42,27,11,29.89,29.83,29.75,10,10,10,20,9,30,0.00,1,,197
2014-7-17,104,88,73,52,46,25,43,27,7,29.89,29.82,29.73,10,10,10,20,11,26,0.00,0,,190
2014-7-18,102,86,71,51,44,28,47,28,8,29.91,29.83,29.76,10,10,10,20,9,23,0.00,1,,180
2014-7-19,100,87,75,59,48,39,56,28,14,29.90,29.86,29.81,10,10,10,15,9,22,0.00,0,Rain,188
2014-7-20,100,85,70,54,47,39,41,27,12,29.89,29.83,29.75,10,10,10,18,7,25,0.00,0,,192
2014-7-21,99,86,72,55,51,44,53,33,16,29.96,29.90,29.84,10,10,10,20,11,28,0.00,1,,176
2014-7-22,102,86,70,53,44,29,47,26,8,30.00,29.93,29.87,10,10,10,22,9,28,0.00,1,,185
2014-7-23,108,90,72,48,37,16,37,20,4,30.00,29.89,29.78,10,10,10,20,10,28,0.00,0,,193
2014-7-24,109,88,68,47,35,14,41,19,5,29.88,29.79,29.68,10,10,10,16,8,29,0.00,0,,195
2014-7-25,109,92,75,42,32,19,23,14,5,29.83,29.77,29.72,10,10,10,22,10,32,0.00,2,,191
2014-7-26,106,89,73,44,38,26,28,17,6,29.92,29.85,29.79,10,10,10,15,9,21,0.00,0,,189
2014-7-27,107,94,81,46,41,36,22,16,12,29.97,29.88,29.80,10,10,10,23,8,33,0.00,0,,170
2014-7-28,93,88,82,57,53,48,39,32,25,30.06,30.00,29.94,10,10,10,24,10,29,0.00,6,,224
2014-7-29,102,88,75,56,50,42,51,29,14,30.04,29.96,29.85,10,10,9,13,6,,0.00,4,,236
2014-7-30,106,90,75,54,49,43,33,24,13,29.95,29.91,29.85,10,7,1,36,14,48,0.00,3,,308
2014-7-31,106,91,77,53,48,44,42,24,13,29.95,29.87,29.76,10,10,10,14,7,24,0.00,1,,264
